Action name, Thread name, Action timestamp
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
The details for an event were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A client was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.07
A ticket was selected from database., http-nio-8080-exec-2, 01.06.2020 01.39.11
The number of available seats to an event was increased., http-nio-8080-exec-2, 01.06.2020 01.39.11
A ticket was removed from database., http-nio-8080-exec-2, 01.06.2020 01.39.11
A ticket was selected from database., http-nio-8080-exec-3, 01.06.2020 01.39.13
The number of available seats to an event was increased., http-nio-8080-exec-3, 01.06.2020 01.39.13
A ticket was removed from database., http-nio-8080-exec-3, 01.06.2020 01.39.13
A ticket was selected from database., http-nio-8080-exec-4, 01.06.2020 01.39.17
The number of available seats to an event was increased., http-nio-8080-exec-4, 01.06.2020 01.39.17
A ticket was removed from database., http-nio-8080-exec-4, 01.06.2020 01.39.17
A ticket was selected from database., http-nio-8080-exec-5, 01.06.2020 01.39.21
The number of available seats to an event was increased., http-nio-8080-exec-5, 01.06.2020 01.39.21
A ticket was removed from database., http-nio-8080-exec-5, 01.06.2020 01.39.21
A ticket was selected from database., http-nio-8080-exec-6, 01.06.2020 01.39.23
The number of available seats to an event was increased., http-nio-8080-exec-6, 01.06.2020 01.39.23
A ticket was removed from database., http-nio-8080-exec-6, 01.06.2020 01.39.23
A ticket was selected from database., http-nio-8080-exec-7, 01.06.2020 01.39.28
The number of available seats to an event was increased., http-nio-8080-exec-7, 01.06.2020 01.39.28
A ticket was removed from database., http-nio-8080-exec-7, 01.06.2020 01.39.28
A ticket was selected from database., http-nio-8080-exec-8, 01.06.2020 01.39.31
The number of available seats to an event was increased., http-nio-8080-exec-8, 01.06.2020 01.39.31
A ticket was removed from database., http-nio-8080-exec-8, 01.06.2020 01.39.31
A ticket was selected from database., http-nio-8080-exec-9, 01.06.2020 01.39.34
The number of available seats to an event was increased., http-nio-8080-exec-9, 01.06.2020 01.39.34
A ticket was removed from database., http-nio-8080-exec-9, 01.06.2020 01.39.34
All event details were selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
An event was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
A location was selected from database., http-nio-8080-exec-1, 01.06.2020 01.39.40
